Mes/Año;N° Día;Fecha;Hábil/No Hábil;TIPO DIA;AUTO+GUMAs;DEMANDA DISTRIBUIDOR;TEMPERATURA MEDIA GBA °C;ALIMENTACIÓN. COMERCIOS Y SERVICIOS;INDUSTRIAS
ene-22;1;1/1/2022;No Hábil;Sábado;1284.3;15203.9;24.0;243.7;672.5
ene-22;2;2/1/2022;No Hábil;Domingo;1592.1;15278.7;26.5;279.1;957.9
ene-22;3;3/1/2022;Hábil;Lunes;1891.1;19255.3;29.3;368.9;1154.0
ene-22;4;4/1/2022;Hábil;Martes;1895.2;18041.0;27.1;394.3;1148.5
ene-22;5;5/1/2022;Hábil;Miércoles;1902.7;15748.8;21.5;379.5;1179.3
ene-22;6;6/1/2022;Hábil;Jueves;1843.6;15506.8;23.1;372.1;1137.6
ene-22;7;7/1/2022;Hábil;Viernes;1891.3;16330.1;24.8;376.0;1159.0
ene-22;8;8/1/2022;No Hábil;Sábado;1826.0;15980.4;25.7;345.7;1124.4
ene-22;9;9/1/2022;No Hábil;Domingo;1694.2;16018.7;26.3;311.5;1041.5
ene-22;10;10/1/2022;Hábil;Lunes;1879.0;19785.6;28.2;383.8;1141.4
ene-22;11;11/1/2022;Hábil;Martes;1906.7;21055.6;30.9;396.7;1175.6
ene-22;12;12/1/2022;Hábil;Miércoles;2005.6;20453.6;27.0;394.0;1243.4
ene-22;13;13/1/2022;Hábil;Jueves;1952.9;20991.6;29.2;407.6;1205.7
ene-22;14;14/1/2022;Hábil;Viernes;1941.5;21838.8;32.1;402.6;1201.9
ene-22;15;15/1/2022;No Hábil;Sábado;1898.4;21170.6;31.8;384.8;1171.3
ene-22;16;16/1/2022;No Hábil;Domingo;1760.4;18098.8;26.6;334.7;1082.5
ene-22;17;17/1/2022;Hábil;Lunes;1913.1;17003.1;23.3;381.4;1191.2
ene-22;18;18/1/2022;Hábil;Martes;2002.7;15112.2;23.0;400.1;1224.7
ene-22;19;19/1/2022;Hábil;Miércoles;2030.2;15073.8;23.8;403.3;1234.6
ene-22;20;20/1/2022;Hábil;Jueves;1970.0;16788.3;25.7;415.7;1212.5
ene-22;21;21/1/2022;Hábil;Viernes;2015.6;18212.3;26.1;418.1;1252.7
ene-22;22;22/1/2022;No Hábil;Sábado;1946.7;16304.4;23.4;376.9;1213.4
ene-22;23;23/1/2022;No Hábil;Domingo;1740.8;14425.6;23.6;329.2;1056.2
ene-22;24;24/1/2022;Hábil;Lunes;1956.1;16942.3;25.9;408.1;1191.5
ene-22;25;25/1/2022;Hábil;Martes;2022.1;18229.4;26.3;436.1;1235.5
ene-22;26;26/1/2022;Hábil;Miércoles;2005.8;16539.0;23.9;425.7;1202.2
ene-22;27;27/1/2022;Hábil;Jueves;1974.2;13660.4;19.0;403.5;1205.1
